R	53.3212	-8.60608	A708	10 Oct 2023	A708\n15:35 - Dublin Heuston to Galway (8 mins late)\nDeparted Attymon next stop Athenry	To Galway
R	53.3223	-6.52356	A410	10 Oct 2023	A410\n17:25 - Dublin Heuston to Limerick (6 mins late)\nDeparted Hazelhatch next stop Kildare	To Limerick
R	53.3281	-6.22116	E123	10 Oct 2023	E123\n17:00 - Howth to Greystones (3 mins late)\nArrived Sandymount next stop Sydney Parade	Southbound
R	53.3281	-6.22116	E834	10 Oct 2023	E834\n17:05 - Bray to Malahide (3 mins late)\nArrived Sandymount next stop Lansdowne Road	Northbound
R	53.3334	-6.40628	A231	10 Oct 2023	A231\n20:25 - Cork to Dublin Heuston (30 mins late)\nDeparted Clondalkin next stop Dublin Heuston	To Dublin Heuston
R	53.334	-6.37868	A714	10 Oct 2023	A714\n17:30 - Dublin Heuston to Galway (5 mins late)\nArrived Park West and Cherry Orchard next stop Sallins	To Galway
R	53.334	-6.37868	D218	10 Oct 2023	D218\n17:27 - Dublin Heuston to Portlaoise (5 mins late)\nArrived Park West and Cherry Orchard next stop Clondalkin	To Portlaoise
R	53.334	-6.37868	P222	10 Oct 2023	P222\n16:25 - Portlaoise to Dublin Heuston (9 mins late)\nDeparted Park West and Cherry Orchard next stop Dublin Heuston	To Dublin Heuston
R	53.334	-6.37868	P416	10 Oct 2023	P416\n17:30 - Hazelhatch to Grand Canal Dock (2 mins late)\nDeparted Park West and Cherry Orchard next stop Drumcondra	Northbound
R	53.3345	-6.43038	D416	10 Oct 2023	D416\n16:59 - Grand Canal Dock to Hazelhatch (6 mins late)\nDeparted Kishogue next stop Adamstown	Southbound
R	53.3433	-6.24829	D927	10 Oct 2023	D927\n17:00 - Bray to Maynooth (0 mins late)\nArrived Dublin Pearse next stop Tara Street	Northbound
R	53.347	-6.25425	A610	10 Oct 2023	A610\n17:33 - Dublin Connolly to Rosslare Europort (5 mins late)\nDeparted Tara Street next stop Dublin Pearse	Southbound
R	53.347	-6.25425	D417	10 Oct 2023	D417\n17:32 - Grand Canal Dock to Newbridge (1 mins late)\nDeparted Tara Street next stop Dublin Connolly	Southbound
R	53.347	-6.25425	E935	10 Oct 2023	E935\n16:55 - Bray to Howth (1 mins late)\nDeparted Tara Street next stop Dublin Connolly	Northbound
R	53.3531	-6.24591	E246	10 Oct 2023	E246\n17:10 - Malahide to Bray (4 mins late)\nDeparted Dublin Connolly next stop Tara Street	Southbound
R	53.3629	-6.22753	E247	10 Oct 2023	E247\n17:20 - Howth to Bray (0 mins late)\nDeparted Clontarf Road next stop Dublin Connolly	Southbound
R	53.3704	-6.50598	A912	10 Oct 2023	A912\n17:10 - Dublin Connolly to Sligo (3 mins late)\nArrived Leixlip (Louisa Bridge) next stop Maynooth	Northbound
R	53.3725	-6.29869	D926	10 Oct 2023	D926\n17:30 - Dublin Connolly to Maynooth (0 mins late)\nArrived Broombridge next stop Pelletstown	Northbound
R	53.3725	-6.29869	P322	10 Oct 2023	P322\n17:10 - M3 Parkway to Docklands (1 mins late)\nDeparted Broombridge next stop Docklands	Southbound
R	53.373	-6.20442	E833	10 Oct 2023	E833\n16:34 - Greystones to Malahide (0 mins late)\nDeparted Killester next stop Harmonstown	Northbound
R	53.3755	-6.33135	D320	10 Oct 2023	D320\n17:25 - Docklands to M3 Parkway (2 mins late)\nArrived Ashtown next stop Navan Road Parkway	Northbound
R	53.3755	-6.33135	P754	10 Oct 2023	P754\n17:10 - Maynooth to Dublin Connolly (3 mins late)\nDeparted Ashtown next stop Pelletstown	Southbound
R	53.3816	-6.37149	D925	10 Oct 2023	D925\n17:17 - Dublin Connolly to Longford (2 mins late)\nArrived Castleknock next stop Coolmine	Northbound
R	53.3891	-6.07401	E248	10 Oct 2023	E248\n17:40 - Howth to Bray (1 mins late)\nDeparted Howth next stop Sutton	Southbound
R	53.3909	-6.15672	E934	10 Oct 2023	E934\n16:35 - Bray to Howth (2 mins late)\nDeparted Howth Junction next stop Bayside	Northbound
R	53.4032	-6.14839	E124	10 Oct 2023	E124\n17:30 - Malahide to Greystones (1 mins late)\nDeparted Clongriffin next stop Howth Junction	Southbound
R	53.4157	-6.83395	A911	10 Oct 2023	A911\n15:05 - Sligo to Dublin Connolly (4 mins late)\nDeparted Enfield next stop Kilcock	Southbound
R	53.4169	-6.1512	D820	10 Oct 2023	D820\n17:13 - Dublin Pearse to Newry (2 mins late)\nDeparted Portmarnock next stop Donabate	To Newry
R	53.4169	-6.1512	E832	10 Oct 2023	E832\n16:25 - Bray to Malahide (3 mins late)\nDeparted Portmarnock next stop Malahide	Northbound
R	53.4169	-6.1512	P619	10 Oct 2023	P619\n17:00 - Drogheda to Dublin Pearse (0 mins late)\nDeparted Portmarnock next stop Dublin Connolly	Southbound
R	53.523	-7.34608	A910	10 Oct 2023	A910\n16:00 - Dublin Connolly to Sligo (10 mins late)\nDeparted Mullingar next stop Edgeworthstown	Northbound
R	53.5741	-6.11933	D819	10 Oct 2023	D819\n17:12 - Dublin Connolly to Balbriggan (0 mins late)\nArrived Skerries next stop Balbriggan	Northbound
R	53.6118	-6.18226	D818	10 Oct 2023	D818\n16:53 - Dublin Pearse to Drogheda (2 mins late)\nDeparted Balbriggan next stop Gormanston	Northbound
R	53.6118	-6.18226	P620	10 Oct 2023	P620\n17:30 - Drogheda to Dublin Pearse (0 mins late)\nArrived Balbriggan next stop Skerries	Southbound
R	53.712	-6.33538	A132	10 Oct 2023	A132\n16:50 - Dublin Connolly to Belfast (2 mins late)\nDeparted Drogheda next stop Dundalk	Northbound
R	53.9676	-8.30438	A908	10 Oct 2023	A908\n15:00 - Dublin Connolly to Sligo (8 mins late)\nDeparted Boyle next stop Ballymote	Northbound
R	53.9676	-8.30438	A913	10 Oct 2023	A913\n16:55 - Sligo to Dublin Connolly (7 mins late)\nDeparted Boyle next stop Carrick on Shannon	Southbound
R	54.0007	-6.41291	A130	10 Oct 2023	A130\n15:20 - Dublin Connolly to Belfast (11 mins late)\nDeparted Dundalk next stop Newry	Northbound
R	54.0007	-6.41291	A131	10 Oct 2023	A131\n16:05 - Belfast to Dublin Connolly (8 mins late)\nDeparted Dundalk next stop Drogheda	Southbound
T	53.0371	-7.30086	D217	10 Oct 2023	D217\n16:20 - Dublin Heuston to Portlaoise(1 mins late)\nTERMINATED Portlaoise at 17:35	To Portlaoise
T	53.2043	-6.10046	E243	10 Oct 2023	E243\n16:20 - Howth to Bray(-3 mins late)\nTERMINATED Bray at 17:34	Southbound
T	53.3397	-6.23773	P415	10 Oct 2023	P415\n16:58 - Hazelhatch to Grand Canal Dock(4 mins late)\nTERMINATED Grand Canal Dock at 17:42	Northbound
T	53.378	-6.58993	D924	10 Oct 2023	D924\n16:41 - Dublin Pearse to Maynooth(2 mins late)\nTERMINATED Maynooth at 17:36	Northbound
T	53.4349	-6.46898	D319	10 Oct 2023	D319\n17:00 - Docklands to M3 Parkway(0 mins late)\nTERMINATED M3 Parkway at 17:38	Northbound
